"Group","Intention","Freq","N","SurveyName","Country","StartYear"
"Not Married, Sexually Active","Unsure About Use",0.117108550901633,3,"AMIR71FL.DTA","Armenia",2015
"Not Married, Sexually Active","Use Later",0.882891449098367,3,"AMIR71FL.DTA","Armenia",2015
"All Never Users","Does Not Intend",0.536066768576635,3249,"BDIR61FL.DTA","Bangladesh",2011
"All Never Users","Never Had Sex",0.00242238708149858,3249,"BDIR61FL.DTA","Bangladesh",2011
"All Never Users","Unsure About Use",0.0247930286091576,3249,"BDIR61FL.DTA","Bangladesh",2011
"All Never Users","Use Later",0.433930475349691,3249,"BDIR61FL.DTA","Bangladesh",2011
"All Never Users","Missing",0.00278734038301771,3249,"BDIR61FL.DTA","Bangladesh",2011
"Infecund, Menopausal","Does Not Intend",0.754174982729124,1187,"BDIR61FL.DTA","Bangladesh",2011
"Infecund, Menopausal","Never Had Sex",0,1187,"BDIR61FL.DTA","Bangladesh",2011
"Infecund, Menopausal","Unsure About Use",0.0269425122463336,1187,"BDIR61FL.DTA","Bangladesh",2011
"Infecund, Menopausal","Use Later",0.21136501302037,1187,"BDIR61FL.DTA","Bangladesh",2011
"Infecund, Menopausal","Missing",0.00751749200417222,1187,"BDIR61FL.DTA","Bangladesh",2011
"Married, Does Not Want Child within 2 Years","Does Not Intend",0.114036021731029,1003,"BDIR61FL.DTA","Bangladesh",2011
"Married, Does Not Want Child within 2 Years","Never Had Sex",0,1003,"BDIR61FL.DTA","Bangladesh",2011
"Married, Does Not Want Child within 2 Years","Unsure About Use",0.0377809927637221,1003,"BDIR61FL.DTA","Bangladesh",2011
"Married, Does Not Want Child within 2 Years","Use Later",0.848182985505249,1003,"BDIR61FL.DTA","Bangladesh",2011
"Married, Does Not Want Child within 2 Years","Missing",0,1003,"BDIR61FL.DTA","Bangladesh",2011
"Married, Wants Child within 2 Years","Does Not Intend",0.14289839982134,374,"BDIR61FL.DTA","Bangladesh",2011
"Married, Wants Child within 2 Years","Never Had Sex",0,374,"BDIR61FL.DTA","Bangladesh",2011
"Married, Wants Child within 2 Years","Unsure About Use",0.0279460333865277,374,"BDIR61FL.DTA","Bangladesh",2011
"Married, Wants Child within 2 Years","Use Later",0.829155566792132,374,"BDIR61FL.DTA","Bangladesh",2011
"Married, Wants Child within 2 Years","Missing",0,374,"BDIR61FL.DTA","Bangladesh",2011
"Not Married, Sexually Active","Does Not Intend",0.988322153752829,685,"BDIR61FL.DTA","Bangladesh",2011
"Not Married, Sexually Active","Never Had Sex",0.011677846247171,685,"BDIR61FL.DTA","Bangladesh",2011
"Not Married, Sexually Active","Unsure About Use",0,685,"BDIR61FL.DTA","Bangladesh",2011
"Not Married, Sexually Active","Use Later",0,685,"BDIR61FL.DTA","Bangladesh",2011
"Not Married, Sexually Active","Missing",0,685,"BDIR61FL.DTA","Bangladesh",2011
"All Never Users","Does Not Intend",0.589360909674708,3318,"BDIR72FL.DTA","Bangladesh",2014
"All Never Users","Never Had Sex",0.00214211602270602,3318,"BDIR72FL.DTA","Bangladesh",2014
"All Never Users","Unsure About Use",0.0383010165372239,3318,"BDIR72FL.DTA","Bangladesh",2014
"All Never Users","Use Later",0.370195957765362,3318,"BDIR72FL.DTA","Bangladesh",2014
"Infecund, Menopausal","Does Not Intend",0.803980658055194,1387,"BDIR72FL.DTA","Bangladesh",2014
"Infecund, Menopausal","Never Had Sex",0,1387,"BDIR72FL.DTA","Bangladesh",2014
"Infecund, Menopausal","Unsure About Use",0.0404578555468252,1387,"BDIR72FL.DTA","Bangladesh",2014
"Infecund, Menopausal","Use Later",0.155561486397981,1387,"BDIR72FL.DTA","Bangladesh",2014
"Married, Does Not Want Child within 2 Years","Does Not Intend",0.17168474294148,972,"BDIR72FL.DTA","Bangladesh",2014
"Married, Does Not Want Child within 2 Years","Never Had Sex",0,972,"BDIR72FL.DTA","Bangladesh",2014
"Married, Does Not Want Child within 2 Years","Unsure About Use",0.0488555157196453,972,"BDIR72FL.DTA","Bangladesh",2014
"Married, Does Not Want Child within 2 Years","Use Later",0.779459741338875,972,"BDIR72FL.DTA","Bangladesh",2014
"Married, Wants Child within 2 Years","Does Not Intend",0.230266885001526,345,"BDIR72FL.DTA","Bangladesh",2014
"Married, Wants Child within 2 Years","Never Had Sex",0,345,"BDIR72FL.DTA","Bangladesh",2014
"Married, Wants Child within 2 Years","Unsure About Use",0.0679765555334413,345,"BDIR72FL.DTA","Bangladesh",2014
"Married, Wants Child within 2 Years","Use Later",0.701756559465032,345,"BDIR72FL.DTA","Bangladesh",2014
"Not Married, Sexually Active","Does Not Intend",0.988474188696556,614,"BDIR72FL.DTA","Bangladesh",2014
"Not Married, Sexually Active","Never Had Sex",0.0115258113034442,614,"BDIR72FL.DTA","Bangladesh",2014
"Not Married, Sexually Active","Unsure About Use",0,614,"BDIR72FL.DTA","Bangladesh",2014
"Not Married, Sexually Active","Use Later",0,614,"BDIR72FL.DTA","Bangladesh",2014
"All Never Users","Does Not Intend",0.282051739271348,2237,"BDIR7RFL.DTA","Bangladesh",2017
"All Never Users","Unsure About Use",0.0218904286693384,2237,"BDIR7RFL.DTA","Bangladesh",2017
"All Never Users","Use Later",0.696057832059313,2237,"BDIR7RFL.DTA","Bangladesh",2017
"Infecund, Menopausal","Does Not Intend",0.619175097956431,770,"BDIR7RFL.DTA","Bangladesh",2017
"Infecund, Menopausal","Unsure About Use",0.0353738483241537,770,"BDIR7RFL.DTA","Bangladesh",2017
