"Time_Since_Use","Freq","SurveyName","Country","StartYear"
"3 Year",0.0910561381198669,"GHIR72FL.DTA","Ghana",2014
"4 Year",0.0724726018778619,"GHIR72FL.DTA","Ghana",2014
"5+ Years",0.523992575451001,"GHIR72FL.DTA","Ghana",2014
"Under a Year",0.176028146603467,"GHIR72FL.DTA","Ghana",2014
"1 Year",0.10438035026041,"GUIR71FL.DTA","Guatemala",2014
"2 Year",0.0866305197981524,"GUIR71FL.DTA","Guatemala",2014
"3 Year",0.0984881785106691,"GUIR71FL.DTA","Guatemala",2014
"4 Year",0.092860862921245,"GUIR71FL.DTA","Guatemala",2014
"5+ Years",0.285312390062825,"GUIR71FL.DTA","Guatemala",2014
"Under a Year",0.332327698446698,"GUIR71FL.DTA","Guatemala",2014
"1 Year",0.118665102413006,"GNIR71FL.DTA","Guinea",2018
"2 Year",0.11771985478368,"GNIR71FL.DTA","Guinea",2018
"3 Year",0.0908891120015071,"GNIR71FL.DTA","Guinea",2018
"4 Year",0.0597474882881284,"GNIR71FL.DTA","Guinea",2018
"5+ Years",0.326739937384656,"GNIR71FL.DTA","Guinea",2018
"Under a Year",0.286238505129022,"GNIR71FL.DTA","Guinea",2018
"1 Year",0.0978016754084146,"HNIR62FL.DTA","Honduras",2011
"2 Year",0.0986717611832888,"HNIR62FL.DTA","Honduras",2011
"3 Year",0.107959471247817,"HNIR62FL.DTA","Honduras",2011
"4 Year",0.0977832266843783,"HNIR62FL.DTA","Honduras",2011
"5+ Years",0.263187488963736,"HNIR62FL.DTA","Honduras",2011
"Under a Year",0.334596376512365,"HNIR62FL.DTA","Honduras",2011
"1 Year",0.0651487481803089,"IAIR7DFL.DTA","India",2019
"2 Year",0.0605883377356936,"IAIR7DFL.DTA","India",2019
"3 Year",0.0635167948282873,"IAIR7DFL.DTA","India",2019
"4 Year",0.0574992210326671,"IAIR7DFL.DTA","India",2019
"5+ Years",0.500906963480355,"IAIR7DFL.DTA","India",2019
"Under a Year",0.252339934742688,"IAIR7DFL.DTA","India",2019
"1 Year",0.0566680515290219,"IAIR73FL.DTA","India",2015
"2 Year",0.0583423822263506,"IAIR73FL.DTA","India",2015
"3 Year",0.0534460370739245,"IAIR73FL.DTA","India",2015
"4 Year",0.0431879033319302,"IAIR73FL.DTA","India",2015
"5+ Years",0.377256561761978,"IAIR73FL.DTA","India",2015
"Under a Year",0.166735622456229,"IAIR73FL.DTA","India",2015
"yes, used in calendar",0.244363441620566,"IAIR73FL.DTA","India",2015
"1 Year",0.0621794960697153,"IDIR71FL.DTA","Indonesia",2017
"2 Year",0.05135931444083,"IDIR71FL.DTA","Indonesia",2017
"3 Year",0.0350793666590776,"IDIR71FL.DTA","Indonesia",2017
"4 Year",0.0328481996251688,"IDIR71FL.DTA","Indonesia",2017
"5+ Years",0.373454734745733,"IDIR71FL.DTA","Indonesia",2017
"Under a Year",0.445078888459476,"IDIR71FL.DTA","Indonesia",2017
"1 Year",0.058489627903569,"IDIR63FL.DTA","Indonesia",2012
"2 Year",0.0541594209718112,"IDIR63FL.DTA","Indonesia",2012
"3 Year",0.0423766628259863,"IDIR63FL.DTA","Indonesia",2012
"4 Year",0.036487329957487,"IDIR63FL.DTA","Indonesia",2012
"5+ Years",0.383180940575658,"IDIR63FL.DTA","Indonesia",2012
"Under a Year",0.425306017765489,"IDIR63FL.DTA","Indonesia",2012
"1 Year",0.0772374095845006,"JOIR72FL.DTA","Jordan",2017
"2 Year",0.0606567460495363,"JOIR72FL.DTA","Jordan",2017
"3 Year",0.0622673481678724,"JOIR72FL.DTA","Jordan",2017
"4 Year",0.0486194728145948,"JOIR72FL.DTA","Jordan",2017
"5+ Years",0.357960649443411,"JOIR72FL.DTA","Jordan",2017
"Under a Year",0.393258373940084,"JOIR72FL.DTA","Jordan",2017
"1 Year",0.109641484961076,"JOIR6CFL.DTA","Jordan",2012
"2 Year",0.0764554634866631,"JOIR6CFL.DTA","Jordan",2012
"3 Year",0.0733056201593531,"JOIR6CFL.DTA","Jordan",2012
"4 Year",0.0723466359611588,"JOIR6CFL.DTA","Jordan",2012
"5+ Years",0.273503500691775,"JOIR6CFL.DTA","Jordan",2012
"Under a Year",0.394747294739974,"JOIR6CFL.DTA","Jordan",2012
"1 Year",0.0425494573104404,"KEIR72FL.DTA","Kenya",2014
"2 Year",0.0393252615762821,"KEIR72FL.DTA","Kenya",2014
"3 Year",0.0386787837199848,"KEIR72FL.DTA","Kenya",2014
"4 Year",0.0407678015741814,"KEIR72FL.DTA","Kenya",2014
"5+ Years",0.671944138515277,"KEIR72FL.DTA","Kenya",2014
"Under a Year",0.166734557303834,"KEIR72FL.DTA","Kenya",2014
"1 Year",0.0869987899404762,"LSIR71FL.DTA","Lesotho",2014
"2 Year",0.0697484598401762,"LSIR71FL.DTA","Lesotho",2014
"3 Year",0.0851701883000722,"LSIR71FL.DTA","Lesotho",2014
"4 Year",0.0823481226037602,"LSIR71FL.DTA","Lesotho",2014
"5+ Years",0.274174526730903,"LSIR71FL.DTA","Lesotho",2014
"Under a Year",0.401559912584612,"LSIR71FL.DTA","Lesotho",2014
"1 Year",0.103327688646253,"LBIR7AFL.DTA","Liberia",2019
"2 Year",0.101341669705483,"LBIR7AFL.DTA","Liberia",2019
"3 Year",0.0933282217378076,"LBIR7AFL.DTA","Liberia",2019
"4 Year",0.074527356464913,"LBIR7AFL.DTA","Liberia",2019
"5+ Years",0.377588094049778,"LBIR7AFL.DTA","Liberia",2019
"Under a Year",0.249886969395765,"LBIR7AFL.DTA","Liberia",2019
"1 Year",0.0854359907091507,"LBIR6AFL.DTA","Liberia",2013
"2 Year",0.0937122785578664,"LBIR6AFL.DTA","Liberia",2013
"3 Year",0.111193636326498,"LBIR6AFL.DTA","Liberia",2013
"4 Year",0.119435277716395,"LBIR6AFL.DTA","Liberia",2013
"5+ Years",0.423791528985153,"LBIR6AFL.DTA","Liberia",2013
"Under a Year",0.166431287704937,"LBIR6AFL.DTA","Liberia",2013
"1 Year",0.122739555171257,"MDIR81FL.DTA","Madagascar",2021
"2 Year",0.116034026986259,"MDIR81FL.DTA","Madagascar",2021
"3 Year",0.0825775162609326,"MDIR81FL.DTA","Madagascar",2021
"4 Year",0.0561887684941384,"MDIR81FL.DTA","Madagascar",2021
"5+ Years",0.256848854450941,"MDIR81FL.DTA","Madagascar",2021
"Under a Year",0.365611278636472,"MDIR81FL.DTA","Madagascar",2021
"1 Year",0.108551701656044,"MWIR7AFL.DTA","Malawi",2015
"2 Year",0.123090215103653,"MWIR7AFL.DTA","Malawi",2015
"3 Year",0.108949460199694,"MWIR7AFL.DTA","Malawi",2015
"4 Year",0.0831298439512469,"MWIR7AFL.DTA","Malawi",2015
"5+ Years",0.314384741512059,"MWIR7AFL.DTA","Malawi",2015
"Under a Year",0.261894037577302,"MWIR7AFL.DTA","Malawi",2015
"1 Year",0.0477433499777677,"MVIR71FL.DTA","Maldives",2016
"2 Year",0.0389772148516286,"MVIR71FL.DTA","Maldives",2016
"3 Year",0.0349321313208756,"MVIR71FL.DTA","Maldives",2016
"4 Year",0.0445797358593827,"MVIR71FL.DTA","Maldives",2016
"5+ Years",0.673130289867672,"MVIR71FL.DTA","Maldives",2016
"Under a Year",0.160637278122674,"MVIR71FL.DTA","Maldives",2016
"1 Year",0.112156857138438,"MLIR7HFL.DTA","Mali",2018
"2 Year",0.116657218947281,"MLIR7HFL.DTA","Mali",2018
"3 Year",0.115488968724219,"MLIR7HFL.DTA","Mali",2018
"4 Year",0.0632136949038345,"MLIR7HFL.DTA","Mali",2018
"5+ Years",0.37668563270499,"MLIR7HFL.DTA","Mali",2018
"Under a Year",0.215797627581238,"MLIR7HFL.DTA","Mali",2018
"1 Year",0.0907434948399918,"MLIR6AFL.DTA","Mali",2012
"2 Year",0.0977441856608497,"MLIR6AFL.DTA","Mali",2012
"3 Year",0.10221553882143,"MLIR6AFL.DTA","Mali",2012
"4 Year",0.0619661396063211,"MLIR6AFL.DTA","Mali",2012
"5+ Years",0.513225584237343,"MLIR6AFL.DTA","Mali",2012
"Under a Year",0.134105056834064,"MLIR6AFL.DTA","Mali",2012
"1 Year",0.0920659583075719,"MRIR71FL.DTA","Mauritania",2019
"2 Year",0.0991024395992695,"MRIR71FL.DTA","Mauritania",2019
"3 Year",0.12174106347644,"MRIR71FL.DTA","Mauritania",2019
"4 Year",0.101094438216948,"MRIR71FL.DTA","Mauritania",2019
"5+ Years",0.411027203501381,"MRIR71FL.DTA","Mauritania",2019
"Under a Year",0.174968896898389,"MRIR71FL.DTA","Mauritania",2019
"1 Year",0.0664013158057457,"MZIR62FL.DTA","Mozambique",2011
"2 Year",0.0933915310925468,"MZIR62FL.DTA","Mozambique",2011
"3 Year",0.0723919872347064,"MZIR62FL.DTA","Mozambique",2011
"4 Year",0.0585405055146921,"MZIR62FL.DTA","Mozambique",2011
"5+ Years",0.56987593293018,"MZIR62FL.DTA","Mozambique",2011
"Under a Year",0.139398727422129,"MZIR62FL.DTA","Mozambique",2011
"1 Year",0.115029871143467,"NPIR7HFL.DTA","Nepal",2016
"2 Year",0.108956382130693,"NPIR7HFL.DTA","Nepal",2016
"3 Year",0.119292616600753,"NPIR7HFL.DTA","Nepal",2016
"4 Year",0.107070259107429,"NPIR7HFL.DTA","Nepal",2016
"5+ Years",0.263763787117042,"NPIR7HFL.DTA","Nepal",2016
"Under a Year",0.285887083900617,"NPIR7HFL.DTA","Nepal",2016
"1 Year",0.165577185372059,"NIIR61FL.DTA","Niger",2012
"2 Year",0.157779578352093,"NIIR61FL.DTA","Niger",2012
"3 Year",0.128201086062436,"NIIR61FL.DTA","Niger",2012
"4 Year",0.0967992834884027,"NIIR61FL.DTA","Niger",2012
"5+ Years",0.224964792081656,"NIIR61FL.DTA","Niger",2012
"Under a Year",0.226678074643353,"NIIR61FL.DTA","Niger",2012
"1 Year",0.08688969757331,"NGIR7AFL.DTA","Nigeria",2018
"2 Year",0.0849933082604282,"NGIR7AFL.DTA","Nigeria",2018
"3 Year",0.0759560497528057,"NGIR7AFL.DTA","Nigeria",2018
"4 Year",0.0700481821890281,"NGIR7AFL.DTA","Nigeria",2018
"5+ Years",0.52770051708673,"NGIR7AFL.DTA","Nigeria",2018
"Under a Year",0.154412245137698,"NGIR7AFL.DTA","Nigeria",2018
"1 Year",0.115524042246143,"NGIR6AFL.DTA","Nigeria",2013
"2 Year",0.0994469497811538,"NGIR6AFL.DTA","Nigeria",2013
"3 Year",0.0858509317146904,"NGIR6AFL.DTA","Nigeria",2013
"4 Year",0.08213767748117,"NGIR6AFL.DTA","Nigeria",2013
"5+ Years",0.360723043112505,"NGIR6AFL.DTA","Nigeria",2013
"Under a Year",0.256317355664338,"NGIR6AFL.DTA","Nigeria",2013
"1 Year",0.109634005412513,"PKIR71FL.DTA","Pakistan",2017
"2 Year",0.113579859973513,"PKIR71FL.DTA","Pakistan",2017
"3 Year",0.111278101113789,"PKIR71FL.DTA","Pakistan",2017
"4 Year",0.11124021904524,"PKIR71FL.DTA","Pakistan",2017
"5+ Years",0.303624918684889,"PKIR71FL.DTA","Pakistan",2017
"Under a Year",0.250642895770057,"PKIR71FL.DTA","Pakistan",2017
"1 Year",0.102859050590614,"RWIR81FL.DTA","Rwanda",2019
"2 Year",0.0775449607050103,"RWIR81FL.DTA","Rwanda",2019
"3 Year",0.0787028106710209,"RWIR81FL.DTA","Rwanda",2019
"4 Year",0.0670816289794227,"RWIR81FL.DTA","Rwanda",2019
"5+ Years",0.286035097622933,"RWIR81FL.DTA","Rwanda",2019
"Under a Year",0.387776451430999,"RWIR81FL.DTA","Rwanda",2019
"1 Year",0.145051392829881,"RWIR70FL.DTA","Rwanda",2014
"2 Year",0.14921168401892,"RWIR70FL.DTA","Rwanda",2014
"3 Year",0.130816152531471,"RWIR70FL.DTA","Rwanda",2014
"4 Year",0.0808276529727279,"RWIR70FL.DTA","Rwanda",2014
"5+ Years",0.116973697337904,"RWIR70FL.DTA","Rwanda",2014
"Under a Year",0.377119420309096,"RWIR70FL.DTA","Rwanda",2014
"1 Year",0.125249079940724,"SNIR8AFL.DTA","Senegal",2019
"2 Year",0.119204330340397,"SNIR8AFL.DTA","Senegal",2019
"3 Year",0.11322376768316,"SNIR8AFL.DTA","Senegal",2019
"4 Year",0.0676837071658952,"SNIR8AFL.DTA","Senegal",2019
"5+ Years",0.339720686046877,"SNIR8AFL.DTA","Senegal",2019
"Under a Year",0.234918428822947,"SNIR8AFL.DTA","Senegal",2019
"1 Year",0.112184224361859,"SNIR80FL.DTA","Senegal",2018
"2 Year",0.109899806438602,"SNIR80FL.DTA","Senegal",2018
"3 Year",0.102395641556574,"SNIR80FL.DTA","Senegal",2018
"4 Year",0.0667312058001454,"SNIR80FL.DTA","Senegal",2018
"5+ Years",0.382715395333836,"SNIR80FL.DTA","Senegal",2018
"Under a Year",0.226073726508983,"SNIR80FL.DTA","Senegal",2018
"1 Year",0.112429680672604,"SNIR7ZFL.DTA","Senegal",2017
"2 Year",0.117621834720413,"SNIR7ZFL.DTA","Senegal",2017
"3 Year",0.11977058769276,"SNIR7ZFL.DTA","Senegal",2017
"4 Year",0.0844840826663481,"SNIR7ZFL.DTA","Senegal",2017
"5+ Years",0.362415983955215,"SNIR7ZFL.DTA","Senegal",2017
"Under a Year",0.20327783029266,"SNIR7ZFL.DTA","Senegal",2017
"1 Year",0.115339478024423,"SNIR7QFL.DTA","Senegal",2016
"2 Year",0.121407256953009,"SNIR7QFL.DTA","Senegal",2016
"3 Year",0.117262547074083,"SNIR7QFL.DTA","Senegal",2016
"4 Year",0.0843601607360436,"SNIR7QFL.DTA","Senegal",2016
"5+ Years",0.401487801177115,"SNIR7QFL.DTA","Senegal",2016
"Under a Year",0.160142756035326,"SNIR7QFL.DTA","Senegal",2016
"1 Year",0.128445642920686,"SNIR7HFL.DTA","Senegal",2015
"2 Year",0.100979263308045,"SNIR7HFL.DTA","Senegal",2015
"3 Year",0.147286019085195,"SNIR7HFL.DTA","Senegal",2015
