"Group","Decider","Freq","SurveyName","Country","StartYear"
"Never User","Mainly Husband, Partner",0.0730369583683905,"BUIR70FL.DTA","Burundi",2016
"Never User","Joint Decision",0.56665322182642,"BUIR70FL.DTA","Burundi",2016
"Never User","Other",0.0879190990890008,"BUIR70FL.DTA","Burundi",2016
"Former User","Mainly Respondent",0.285830257195711,"BUIR70FL.DTA","Burundi",2016
"Former User","Mainly Husband, Partner",0.0740646595000431,"BUIR70FL.DTA","Burundi",2016
"Former User","Joint Decision",0.613629519404926,"BUIR70FL.DTA","Burundi",2016
"Former User","Other",0.0264755638993209,"BUIR70FL.DTA","Burundi",2016
"Current User","Mainly Respondent",0.0761922874380608,"BUIR61FL.DTA","Burundi",2010
"Current User","Mainly Husband, Partner",0.0722286112229413,"BUIR61FL.DTA","Burundi",2010
"Current User","Joint Decision",0.842785852501238,"BUIR61FL.DTA","Burundi",2010
"Current User","Missing",0.00879324883775974,"BUIR61FL.DTA","Burundi",2010
"Current User","Mainly Respondent",0.219120795769356,"KHIR73FL.DTA","Cambodia",2014
"Current User","Mainly Husband, Partner",0.109765317161157,"KHIR73FL.DTA","Cambodia",2014
"Current User","Joint Decision",0.670051083169036,"KHIR73FL.DTA","Cambodia",2014
"Current User","Other",0.0010628039004502,"KHIR73FL.DTA","Cambodia",2014
"Current User","Mainly Respondent",0.283687548645402,"CMIR61FL.DTA","Cameroon",2011
"Current User","Mainly Husband, Partner",0.0998272875922151,"CMIR61FL.DTA","Cameroon",2011
"Current User","Joint Decision",0.61137110411089,"CMIR61FL.DTA","Cameroon",2011
"Current User","Other",0.00511405965149297,"CMIR61FL.DTA","Cameroon",2011
"Current User","Mainly Respondent",0.183702786936239,"TDIR71FL.DTA","Chad",2014
"Current User","Mainly Husband, Partner",0.171595102387908,"TDIR71FL.DTA","Chad",2014
"Current User","Joint Decision",0.633376172524567,"TDIR71FL.DTA","Chad",2014
"Current User","Other",0.0113259381512858,"TDIR71FL.DTA","Chad",2014
"Current User","Mainly Respondent",0.334632535991263,"KMIR61FL.DTA","Comoros",2012
"Current User","Mainly Husband, Partner",0.267152405907514,"KMIR61FL.DTA","Comoros",2012
"Current User","Joint Decision",0.364968916760625,"KMIR61FL.DTA","Comoros",2012
"Current User","Other",0.0147630188149895,"KMIR61FL.DTA","Comoros",2012
"Current User","Missing",0.0184831225256088,"KMIR61FL.DTA","Comoros",2012
"Current User","Mainly Respondent",0.295240130612695,"CGIR60FL.DTA","Congo",2011
"Current User","Mainly Husband, Partner",0.123971713397448,"CGIR60FL.DTA","Congo",2011
"Current User","Joint Decision",0.570583054175476,"CGIR60FL.DTA","Congo",2011
