"Var1","Var2","Freq","SurveyName","Country","StartYear"
"40-49","Former User",0.046897333698344,"MVIR71FL.DTA","Maldives",2016
"15-24","Never Used",0.276354373061751,"MVIR71FL.DTA","Maldives",2016
"25-39","Never Used",0.328481915707382,"MVIR71FL.DTA","Maldives",2016
"40-49","Never Used",0.116974643891892,"MVIR71FL.DTA","Maldives",2016
"15-24","Current User",0.0298683068181451,"MLIR6AFL.DTA","Mali",2012
"25-39","Current User",0.0563785090022532,"MLIR6AFL.DTA","Mali",2012
"40-49","Current User",0.0136809997000201,"MLIR6AFL.DTA","Mali",2012
"15-24","Former User",0.0226243614496466,"MLIR6AFL.DTA","Mali",2012
"25-39","Former User",0.0594359194629262,"MLIR6AFL.DTA","Mali",2012
"40-49","Former User",0.0142339537595098,"MLIR6AFL.DTA","Mali",2012
"15-24","Never Used",0.305896219804126,"MLIR6AFL.DTA","Mali",2012
"25-39","Never Used",0.371691820611597,"MLIR6AFL.DTA","Mali",2012
"40-49","Never Used",0.126189909391777,"MLIR6AFL.DTA","Mali",2012
"15-24","Current User",0.0484802108030314,"MLIR7HFL.DTA","Mali",2018
"25-39","Current User",0.0943269615253345,"MLIR7HFL.DTA","Mali",2018
"40-49","Current User",0.0189393642975054,"MLIR7HFL.DTA","Mali",2018
"15-24","Former User",0.03600890164299,"MLIR7HFL.DTA","Mali",2018
"25-39","Former User",0.080979669490177,"MLIR7HFL.DTA","Mali",2018
"40-49","Former User",0.0236724034896003,"MLIR7HFL.DTA","Mali",2018
"15-24","Never Used",0.295758040770201,"MLIR7HFL.DTA","Mali",2018
"25-39","Never Used",0.29996809841287,"MLIR7HFL.DTA","Mali",2018
"40-49","Never Used",0.101866349568291,"MLIR7HFL.DTA","Mali",2018
"15-24","Current User",0.0218065418903385,"MRIR71FL.DTA","Mauritania",2019
"25-39","Current User",0.0557025656886056,"MRIR71FL.DTA","Mauritania",2019
"40-49","Current User",0.0118395204713435,"MRIR71FL.DTA","Mauritania",2019
"15-24","Former User",0.0190231704278569,"MRIR71FL.DTA","Mauritania",2019
"25-39","Former User",0.0721334620837305,"MRIR71FL.DTA","Mauritania",2019
"40-49","Former User",0.0256359339116001,"MRIR71FL.DTA","Mauritania",2019
"15-24","Never Used",0.366667665219977,"MRIR71FL.DTA","Mauritania",2019
"25-39","Never Used",0.297132774228949,"MRIR71FL.DTA","Mauritania",2019
"40-49","Never Used",0.130058366077599,"MRIR71FL.DTA","Mauritania",2019
"15-24","Current User",0.046137427489824,"MZIR62FL.DTA","Mozambique",2011
"25-39","Current User",0.0647560203108009,"MZIR62FL.DTA","Mozambique",2011
"40-49","Current User",0.0124181669612488,"MZIR62FL.DTA","Mozambique",2011
"15-24","Former User",0.0399920228010708,"MZIR62FL.DTA","Mozambique",2011
"25-39","Former User",0.0833392395416128,"MZIR62FL.DTA","Mozambique",2011
"40-49","Former User",0.0255090116918289,"MZIR62FL.DTA","Mozambique",2011
"15-24","Never Used",0.315091417071064,"MZIR62FL.DTA","Mozambique",2011
"25-39","Never Used",0.286254860621103,"MZIR62FL.DTA","Mozambique",2011
"40-49","Never Used",0.126501833511447,"MZIR62FL.DTA","Mozambique",2011
"15-24","Current User",0.0525566596124054,"NPIR60FL.DTA","Nepal",2011
"25-39","Current User",0.22752288284026,"NPIR60FL.DTA","Nepal",2011
"40-49","Current User",0.101588743759077,"NPIR60FL.DTA","Nepal",2011
"15-24","Former User",0.0479673989223853,"NPIR60FL.DTA","Nepal",2011
"25-39","Former User",0.100338621268056,"NPIR60FL.DTA","Nepal",2011
"40-49","Former User",0.0335710862602409,"NPIR60FL.DTA","Nepal",2011
"15-24","Never Used",0.297966860753712,"NPIR60FL.DTA","Nepal",2011
