"Var1","Var2","Freq","SurveyName","Country","StartYear"
"UMSA","Never Used",0.00144392569468116,"AMIR61FL.DTA","Armenia",2010
"Married","Current User",0.363986172321082,"AMIR71FL.DTA","Armenia",2015
"MISSING","Current User",0,"AMIR71FL.DTA","Armenia",2015
"UMNSA","Current User",0.00156754644044856,"AMIR71FL.DTA","Armenia",2015
"UMSA","Current User",0.00160723627052608,"AMIR71FL.DTA","Armenia",2015
"Married","Former User",0.0968975173056005,"AMIR71FL.DTA","Armenia",2015
"MISSING","Former User",0,"AMIR71FL.DTA","Armenia",2015
"UMNSA","Former User",0.0242242860464783,"AMIR71FL.DTA","Armenia",2015
"UMSA","Former User",0.000118407129210225,"AMIR71FL.DTA","Armenia",2015
"Married","Never Used",0.176021450187117,"AMIR71FL.DTA","Armenia",2015
"MISSING","Never Used",0.000511349739979667,"AMIR71FL.DTA","Armenia",2015
"UMNSA","Never Used",0.335066034559558,"AMIR71FL.DTA","Armenia",2015
"UMSA","Never Used",0,"AMIR71FL.DTA","Armenia",2015
"Married","Current User",0.573717043270195,"BDIR61FL.DTA","Bangladesh",2011
"UMNSA","Current User",0,"BDIR61FL.DTA","Bangladesh",2011
"UMSA","Current User",0,"BDIR61FL.DTA","Bangladesh",2011
"Married","Former User",0.222450608892878,"BDIR61FL.DTA","Bangladesh",2011
"UMNSA","Former User",0.0256967837324519,"BDIR61FL.DTA","Bangladesh",2011
"UMSA","Former User",0.000125831712820061,"BDIR61FL.DTA","Bangladesh",2011
"Married","Never Used",0.141084389567328,"BDIR61FL.DTA","Bangladesh",2011
"UMNSA","Never Used",0.0368757451552789,"BDIR61FL.DTA","Bangladesh",2011
"UMSA","Never Used",0.0000495976690474668,"BDIR61FL.DTA","Bangladesh",2011
"Married","Current User",0.589326804902687,"BDIR72FL.DTA","Bangladesh",2014
"UMNSA","Current User",0,"BDIR72FL.DTA","Bangladesh",2014
"UMSA","Current User",0,"BDIR72FL.DTA","Bangladesh",2014
"Married","Former User",0.204573099803005,"BDIR72FL.DTA","Bangladesh",2014
"UMNSA","Former User",0.0220399417598423,"BDIR72FL.DTA","Bangladesh",2014
"UMSA","Former User",0.0000409370213493243,"BDIR72FL.DTA","Bangladesh",2014
"Married","Never Used",0.149818542755707,"BDIR72FL.DTA","Bangladesh",2014
"UMNSA","Never Used",0.0342006737574094,"BDIR72FL.DTA","Bangladesh",2014
"UMSA","Never Used",0,"BDIR72FL.DTA","Bangladesh",2014
"Married","Current User",0.583403744616522,"BDIR7RFL.DTA","Bangladesh",2017
"UMNSA","Current User",0,"BDIR7RFL.DTA","Bangladesh",2017
"UMSA","Current User",0,"BDIR7RFL.DTA","Bangladesh",2017
"Married","Former User",0.265244022503897,"BDIR7RFL.DTA","Bangladesh",2017
"UMNSA","Former User",0.0383295017217047,"BDIR7RFL.DTA","Bangladesh",2017
"UMSA","Former User",0.000165776864564274,"BDIR7RFL.DTA","Bangladesh",2017
"Married","Never Used",0.0945844330616885,"BDIR7RFL.DTA","Bangladesh",2017
"UMNSA","Never Used",0.018272521231623,"BDIR7RFL.DTA","Bangladesh",2017
"UMSA","Never Used",0,"BDIR7RFL.DTA","Bangladesh",2017
"Married","Current User",0.0910184599723715,"BJIR61FL.DTA","Benin",2011
"UMNSA","Current User",0.0296863204661299,"BJIR61FL.DTA","Benin",2011
"UMSA","Current User",0.0192643105201521,"BJIR61FL.DTA","Benin",2011
"Married","Former User",0.0975397830901885,"BJIR61FL.DTA","Benin",2011
"UMNSA","Former User",0.0325690606160908,"BJIR61FL.DTA","Benin",2011
"UMSA","Former User",0.00800426979357964,"BJIR61FL.DTA","Benin",2011
"Married","Never Used",0.515120452809478,"BJIR61FL.DTA","Benin",2011
"UMNSA","Never Used",0.18080275072415,"BJIR61FL.DTA","Benin",2011
"UMSA","Never Used",0.0259945920078601,"BJIR61FL.DTA","Benin",2011
"Married","Current User",0.108747760952804,"BJIR71FL.DTA","Benin",2017
"UMNSA","Current User",0.019621273035026,"BJIR71FL.DTA","Benin",2017
"UMSA","Current User",0.0157601194701908,"BJIR71FL.DTA","Benin",2017
"Married","Former User",0.142752656785926,"BJIR71FL.DTA","Benin",2017
"UMNSA","Former User",0.0169461349143188,"BJIR71FL.DTA","Benin",2017
"UMSA","Former User",0.0072202948244537,"BJIR71FL.DTA","Benin",2017
"Married","Never Used",0.449666741445986,"BJIR71FL.DTA","Benin",2017
"UMNSA","Never Used",0.20730500878726,"BJIR71FL.DTA","Benin",2017
"UMSA","Never Used",0.0319800097840344,"BJIR71FL.DTA","Benin",2017
"Married","Current User",0.128408359558485,"BFIR62FL.DTA","Burkina Faso",2010
"UMNSA","Current User",0.0123196919917711,"BFIR62FL.DTA","Burkina Faso",2010
"UMSA","Current User",0.0120663524292896,"BFIR62FL.DTA","Burkina Faso",2010
"Married","Former User",0.0753819648260073,"BFIR62FL.DTA","Burkina Faso",2010
"UMNSA","Former User",0.00711187569046532,"BFIR62FL.DTA","Burkina Faso",2010
"UMSA","Former User",0.000715304459178916,"BFIR62FL.DTA","Burkina Faso",2010
"Married","Never Used",0.589974526568709,"BFIR62FL.DTA","Burkina Faso",2010
"UMNSA","Never Used",0.166776268013405,"BFIR62FL.DTA","Burkina Faso",2010
"UMSA","Never Used",0.00724565646268888,"BFIR62FL.DTA","Burkina Faso",2010
"Married","Current User",0.246627671326776,"BFIR81FL.DTA","Burkina Faso",2021
