"Var1","Freq","SurveyName","Country","StartYear"
"Current User",0.168706687556136,"SNIR7HFL.DTA","Senegal",2015
"Former User",0.130156104834062,"SNIR7HFL.DTA","Senegal",2015
"Never Used",0.701137207609803,"SNIR7HFL.DTA","Senegal",2015
"Current User",0.179579432397605,"SNIR7QFL.DTA","Senegal",2016
"Former User",0.152941693503218,"SNIR7QFL.DTA","Senegal",2016
"Never Used",0.667478874099178,"SNIR7QFL.DTA","Senegal",2016
"Current User",0.198994576430073,"SNIR7ZFL.DTA","Senegal",2017
"Former User",0.148171074049898,"SNIR7ZFL.DTA","Senegal",2017
"Never Used",0.652834349520029,"SNIR7ZFL.DTA","Senegal",2017
"Current User",0.194161963734743,"SNIR80FL.DTA","Senegal",2018
"Former User",0.165970071683962,"SNIR80FL.DTA","Senegal",2018
"Never Used",0.639867964581295,"SNIR80FL.DTA","Senegal",2018
"Current User",0.188316165799674,"SNIR8AFL.DTA","Senegal",2019
"Former User",0.159388535679462,"SNIR8AFL.DTA","Senegal",2019
"Never Used",0.652295298520864,"SNIR8AFL.DTA","Senegal",2019
"Current User",0.220700956218701,"SLIR61FL.DTA","Sierra Leone",2013
"Former User",0.109333689711453,"SLIR61FL.DTA","Sierra Leone",2013
"Never Used",0.669965354069846,"SLIR61FL.DTA","Sierra Leone",2013
"Current User",0.242685092077088,"SLIR7AFL.DTA","Sierra Leone",2019
"Former User",0.171763434754953,"SLIR7AFL.DTA","Sierra Leone",2019
"Never Used",0.585551473167959,"SLIR7AFL.DTA","Sierra Leone",2019
"Current User",0.48154669048436,"ZAIR71FL.DTA","South Africa",2016
"Former User",0.186428002153841,"ZAIR71FL.DTA","South Africa",2016
"Never Used",0.332025307361799,"ZAIR71FL.DTA","South Africa",2016
"Current User",0.189312271828445,"TJIR61FL.DTA","Tajikistan",2012
"Former User",0.0766040499838252,"TJIR61FL.DTA","Tajikistan",2012
"Never Used",0.73408367818773,"TJIR61FL.DTA","Tajikistan",2012
"Current User",0.212931917756062,"TJIR71FL.DTA","Tajikistan",2017
"Former User",0.105740813049059,"TJIR71FL.DTA","Tajikistan",2017
"Never Used",0.681327269194879,"TJIR71FL.DTA","Tajikistan",2017
"Current User",0.324197841686479,"TZIR7BFL.DTA","Tanzania",2015
"Former User",0.203380205845463,"TZIR7BFL.DTA","Tanzania",2015
"Never Used",0.472421952468057,"TZIR7BFL.DTA","Tanzania",2015
"Current User",0.309318200986194,"TZIR82FL.DTA","Tanzania",2022
"Former User",0.185186869471997,"TZIR82FL.DTA","Tanzania",2022
"Never Used",0.505494929541809,"TZIR82FL.DTA","Tanzania",2022
"Current User",0.160555346049676,"TLIR71FL.DTA","Timor-Leste",2016
"Former User",0.073963766987469,"TLIR71FL.DTA","Timor-Leste",2016
