Var1,Var2,Freq,SurveyName,Country,StartYear
25-39,Former User,0.053316783,BFIR62FL.DTA,Burkina Faso,2010
40-49,Former User,0.012467019,BFIR62FL.DTA,Burkina Faso,2010
15-24,Never Used,0.32266261,BFIR62FL.DTA,Burkina Faso,2010
25-39,Never Used,0.306709624,BFIR62FL.DTA,Burkina Faso,2010
40-49,Never Used,0.134624217,BFIR62FL.DTA,Burkina Faso,2010
15-24,Current User,0.039549266,BUIR70FL.DTA,Burundi,2016
25-39,Current User,0.110952186,BUIR70FL.DTA,Burundi,2016
40-49,Current User,0.028372135,BUIR70FL.DTA,Burundi,2016
15-24,Former User,0.027708501,BUIR70FL.DTA,Burundi,2016
25-39,Former User,0.112183594,BUIR70FL.DTA,Burundi,2016
40-49,Former User,0.033699484,BUIR70FL.DTA,Burundi,2016
15-24,Never Used,0.344054264,BUIR70FL.DTA,Burundi,2016
25-39,Never Used,0.206082539,BUIR70FL.DTA,Burundi,2016
40-49,Never Used,0.097398031,BUIR70FL.DTA,Burundi,2016
15-24,Current User,0.031880026,BUIR61FL.DTA,Burundi,2010
25-39,Current User,0.082284712,BUIR61FL.DTA,Burundi,2010
40-49,Current User,0.019884701,BUIR61FL.DTA,Burundi,2010
15-24,Former User,0.015380212,BUIR61FL.DTA,Burundi,2010
25-39,Former User,0.043750565,BUIR61FL.DTA,Burundi,2010
40-49,Former User,0.007802602,BUIR61FL.DTA,Burundi,2010
15-24,Never Used,0.399160779,BUIR61FL.DTA,Burundi,2010
25-39,Never Used,0.272155915,BUIR61FL.DTA,Burundi,2010
40-49,Never Used,0.12770049,BUIR61FL.DTA,Burundi,2010
15-24,Current User,0.058522501,KHIR73FL.DTA,Cambodia,2014
25-39,Current User,0.24222984,KHIR73FL.DTA,Cambodia,2014
40-49,Current User,0.084570136,KHIR73FL.DTA,Cambodia,2014
15-24,Former User,0.02294687,KHIR73FL.DTA,Cambodia,2014
25-39,Former User,0.07534218,KHIR73FL.DTA,Cambodia,2014
40-49,Former User,0.047430566,KHIR73FL.DTA,Cambodia,2014
