Group,Decider,Freq,SurveyName,Country,StartYear
Current User,"Mainly Husband, Partner",0.148562141,GNIR71FL.DTA,Guinea,2018
Current User,Joint Decision,0.196737481,GNIR71FL.DTA,Guinea,2018
Never User,Mainly Respondent,0.574859911,GNIR71FL.DTA,Guinea,2018
Never User,"Mainly Husband, Partner",0.205225092,GNIR71FL.DTA,Guinea,2018
Never User,Joint Decision,0.172298642,GNIR71FL.DTA,Guinea,2018
Never User,Other,0.047616355,GNIR71FL.DTA,Guinea,2018
Former User,Mainly Respondent,0.616179573,GNIR71FL.DTA,Guinea,2018
Former User,"Mainly Husband, Partner",0.193409502,GNIR71FL.DTA,Guinea,2018
Former User,Joint Decision,0.167703333,GNIR71FL.DTA,Guinea,2018
Former User,Other,0.022707592,GNIR71FL.DTA,Guinea,2018
Current User,Mainly Respondent,0.527177461,GNIR62FL.DTA,Guinea,2012
Current User,"Mainly Husband, Partner",0.081135782,GNIR62FL.DTA,Guinea,2012
Current User,Joint Decision,0.389462042,GNIR62FL.DTA,Guinea,2012
Current User,Other,0.002224715,GNIR62FL.DTA,Guinea,2012
Current User,Mainly Respondent,0.192527579,HNIR62FL.DTA,Honduras,2011
Current User,"Mainly Husband, Partner",0.113420548,HNIR62FL.DTA,Honduras,2011
Current User,Joint Decision,0.685970021,HNIR62FL.DTA,Honduras,2011
Current User,Other,0.006273991,HNIR62FL.DTA,Honduras,2011
Current User,Missing,0.001807861,HNIR62FL.DTA,Honduras,2011
Current User,Mainly Respondent,0.101145273,IAIR7DFL.DTA,India,2019
Current User,"Mainly Husband, Partner",0.080027596,IAIR7DFL.DTA,India,2019
Current User,Joint Decision,0.81740352,IAIR7DFL.DTA,India,2019
Current User,Other,0.001423611,IAIR7DFL.DTA,India,2019
Current User,Mainly Respondent,0.082324716,IAIR73FL.DTA,India,2015
Current User,"Mainly Husband, Partner",0.082572764,IAIR73FL.DTA,India,2015
Current User,Joint Decision,0.833912366,IAIR73FL.DTA,India,2015
Current User,Other,0.001190155,IAIR73FL.DTA,India,2015
Current User,Mainly Respondent,0.353286059,IDIR71FL.DTA,Indonesia,2017
Current User,"Mainly Husband, Partner",0.072285285,IDIR71FL.DTA,Indonesia,2017
Current User,Joint Decision,0.571674803,IDIR71FL.DTA,Indonesia,2017
Current User,Other,0.002753853,IDIR71FL.DTA,Indonesia,2017
Never User,Mainly Respondent,0.281670843,IDIR71FL.DTA,Indonesia,2017
Never User,"Mainly Husband, Partner",0.101532535,IDIR71FL.DTA,Indonesia,2017
Never User,Joint Decision,0.602946606,IDIR71FL.DTA,Indonesia,2017
Never User,Other,0.013850016,IDIR71FL.DTA,Indonesia,2017
Former User,Mainly Respondent,0.436360513,IDIR71FL.DTA,Indonesia,2017
Former User,"Mainly Husband, Partner",0.069107442,IDIR71FL.DTA,Indonesia,2017
Former User,Joint Decision,0.476538733,IDIR71FL.DTA,Indonesia,2017
Former User,Other,0.017993312,IDIR71FL.DTA,Indonesia,2017
Current User,Mainly Respondent,0.329074376,IDIR63FL.DTA,Indonesia,2012
Current User,"Mainly Husband, Partner",0.083763103,IDIR63FL.DTA,Indonesia,2012
Current User,Joint Decision,0.585375887,IDIR63FL.DTA,Indonesia,2012
Current User,Other,0.001786634,IDIR63FL.DTA,Indonesia,2012
