Var1,Freq,SurveyName,Country,StartYear
5+ Years,0.07129427,BUIR70FL.DTA,Burundi,2016
Under a Year,0.434310241,BUIR70FL.DTA,Burundi,2016
1 Year,0.241137149,BUIR61FL.DTA,Burundi,2010
2 Year,0.082147326,BUIR61FL.DTA,Burundi,2010
3 Year,0.029698879,BUIR61FL.DTA,Burundi,2010
4 Year,0.021391961,BUIR61FL.DTA,Burundi,2010
5+ Years,0.02588882,BUIR61FL.DTA,Burundi,2010
Under a Year,0.599735865,BUIR61FL.DTA,Burundi,2010
1 Year,0.190780961,KHIR73FL.DTA,Cambodia,2014
2 Year,0.115983174,KHIR73FL.DTA,Cambodia,2014
3 Year,0.082264318,KHIR73FL.DTA,Cambodia,2014
4 Year,0.061432514,KHIR73FL.DTA,Cambodia,2014
5+ Years,0.260129558,KHIR73FL.DTA,Cambodia,2014
Under a Year,0.289409474,KHIR73FL.DTA,Cambodia,2014
1 Year,0.211295823,CMIR61FL.DTA,Cameroon,2011
2 Year,0.120406768,CMIR61FL.DTA,Cameroon,2011
3 Year,0.079851286,CMIR61FL.DTA,Cameroon,2011
4 Year,0.051492274,CMIR61FL.DTA,Cameroon,2011
5+ Years,0.16046828,CMIR61FL.DTA,Cameroon,2011
Under a Year,0.376485569,CMIR61FL.DTA,Cameroon,2011
1 Year,0.26119745,TDIR71FL.DTA,Chad,2014
2 Year,0.14474282,TDIR71FL.DTA,Chad,2014
3 Year,0.05271167,TDIR71FL.DTA,Chad,2014
4 Year,0.032471463,TDIR71FL.DTA,Chad,2014
5+ Years,0.090381228,TDIR71FL.DTA,Chad,2014
Under a Year,0.41849537,TDIR71FL.DTA,Chad,2014
1 Year,0.219937178,KMIR61FL.DTA,Comoros,2012
2 Year,0.123994424,KMIR61FL.DTA,Comoros,2012
3 Year,0.097733938,KMIR61FL.DTA,Comoros,2012
4 Year,0.065667194,KMIR61FL.DTA,Comoros,2012
5+ Years,0.141082512,KMIR61FL.DTA,Comoros,2012
Under a Year,0.351584754,KMIR61FL.DTA,Comoros,2012
1 Year,0.241001093,CGIR60FL.DTA,Congo,2011
2 Year,0.150511506,CGIR60FL.DTA,Congo,2011
3 Year,0.070301302,CGIR60FL.DTA,Congo,2011
4 Year,0.048131174,CGIR60FL.DTA,Congo,2011
5+ Years,0.128379879,CGIR60FL.DTA,Congo,2011
Under a Year,0.361675046,CGIR60FL.DTA,Congo,2011
