Time_Since_Use,Freq,SurveyName,Country,StartYear
4 Year,0.044579736,MVIR71FL.DTA,Maldives,2016
5+ Years,0.67313029,MVIR71FL.DTA,Maldives,2016
Under a Year,0.160637278,MVIR71FL.DTA,Maldives,2016
1 Year,0.112156857,MLIR7HFL.DTA,Mali,2018
2 Year,0.116657219,MLIR7HFL.DTA,Mali,2018
3 Year,0.115488969,MLIR7HFL.DTA,Mali,2018
4 Year,0.063213695,MLIR7HFL.DTA,Mali,2018
5+ Years,0.376685633,MLIR7HFL.DTA,Mali,2018
Under a Year,0.215797628,MLIR7HFL.DTA,Mali,2018
1 Year,0.090743495,MLIR6AFL.DTA,Mali,2012
2 Year,0.097744186,MLIR6AFL.DTA,Mali,2012
3 Year,0.102215539,MLIR6AFL.DTA,Mali,2012
4 Year,0.06196614,MLIR6AFL.DTA,Mali,2012
5+ Years,0.513225584,MLIR6AFL.DTA,Mali,2012
Under a Year,0.134105057,MLIR6AFL.DTA,Mali,2012
1 Year,0.092065958,MRIR71FL.DTA,Mauritania,2019
2 Year,0.09910244,MRIR71FL.DTA,Mauritania,2019
3 Year,0.121741063,MRIR71FL.DTA,Mauritania,2019
4 Year,0.101094438,MRIR71FL.DTA,Mauritania,2019
5+ Years,0.411027204,MRIR71FL.DTA,Mauritania,2019
Under a Year,0.174968897,MRIR71FL.DTA,Mauritania,2019
1 Year,0.066401316,MZIR62FL.DTA,Mozambique,2011
2 Year,0.093391531,MZIR62FL.DTA,Mozambique,2011
3 Year,0.072391987,MZIR62FL.DTA,Mozambique,2011
4 Year,0.058540506,MZIR62FL.DTA,Mozambique,2011
5+ Years,0.569875933,MZIR62FL.DTA,Mozambique,2011
Under a Year,0.139398727,MZIR62FL.DTA,Mozambique,2011
1 Year,0.115029871,NPIR7HFL.DTA,Nepal,2016
2 Year,0.108956382,NPIR7HFL.DTA,Nepal,2016
3 Year,0.119292617,NPIR7HFL.DTA,Nepal,2016
4 Year,0.107070259,NPIR7HFL.DTA,Nepal,2016
5+ Years,0.263763787,NPIR7HFL.DTA,Nepal,2016
Under a Year,0.285887084,NPIR7HFL.DTA,Nepal,2016
1 Year,0.165577185,NIIR61FL.DTA,Niger,2012
2 Year,0.157779578,NIIR61FL.DTA,Niger,2012
3 Year,0.128201086,NIIR61FL.DTA,Niger,2012
4 Year,0.096799283,NIIR61FL.DTA,Niger,2012
5+ Years,0.224964792,NIIR61FL.DTA,Niger,2012
Under a Year,0.226678075,NIIR61FL.DTA,Niger,2012
1 Year,0.086889698,NGIR7AFL.DTA,Nigeria,2018
2 Year,0.084993308,NGIR7AFL.DTA,Nigeria,2018
3 Year,0.07595605,NGIR7AFL.DTA,Nigeria,2018
4 Year,0.070048182,NGIR7AFL.DTA,Nigeria,2018
5+ Years,0.527700517,NGIR7AFL.DTA,Nigeria,2018
Under a Year,0.154412245,NGIR7AFL.DTA,Nigeria,2018
1 Year,0.115524042,NGIR6AFL.DTA,Nigeria,2013
2 Year,0.09944695,NGIR6AFL.DTA,Nigeria,2013
3 Year,0.085850932,NGIR6AFL.DTA,Nigeria,2013
4 Year,0.082137677,NGIR6AFL.DTA,Nigeria,2013
5+ Years,0.360723043,NGIR6AFL.DTA,Nigeria,2013
Under a Year,0.256317356,NGIR6AFL.DTA,Nigeria,2013
1 Year,0.109634005,PKIR71FL.DTA,Pakistan,2017
2 Year,0.11357986,PKIR71FL.DTA,Pakistan,2017
3 Year,0.111278101,PKIR71FL.DTA,Pakistan,2017
4 Year,0.111240219,PKIR71FL.DTA,Pakistan,2017
5+ Years,0.303624919,PKIR71FL.DTA,Pakistan,2017
Under a Year,0.250642896,PKIR71FL.DTA,Pakistan,2017
1 Year,0.102859051,RWIR81FL.DTA,Rwanda,2019
2 Year,0.077544961,RWIR81FL.DTA,Rwanda,2019
3 Year,0.078702811,RWIR81FL.DTA,Rwanda,2019
4 Year,0.067081629,RWIR81FL.DTA,Rwanda,2019
5+ Years,0.286035098,RWIR81FL.DTA,Rwanda,2019
Under a Year,0.387776451,RWIR81FL.DTA,Rwanda,2019
1 Year,0.145051393,RWIR70FL.DTA,Rwanda,2014
2 Year,0.149211684,RWIR70FL.DTA,Rwanda,2014
3 Year,0.130816153,RWIR70FL.DTA,Rwanda,2014
4 Year,0.080827653,RWIR70FL.DTA,Rwanda,2014
5+ Years,0.116973697,RWIR70FL.DTA,Rwanda,2014
Under a Year,0.37711942,RWIR70FL.DTA,Rwanda,2014
1 Year,0.12524908,SNIR8AFL.DTA,Senegal,2019
2 Year,0.11920433,SNIR8AFL.DTA,Senegal,2019
3 Year,0.113223768,SNIR8AFL.DTA,Senegal,2019
4 Year,0.067683707,SNIR8AFL.DTA,Senegal,2019
5+ Years,0.339720686,SNIR8AFL.DTA,Senegal,2019
Under a Year,0.234918429,SNIR8AFL.DTA,Senegal,2019
1 Year,0.112184224,SNIR80FL.DTA,Senegal,2018
2 Year,0.109899806,SNIR80FL.DTA,Senegal,2018
3 Year,0.102395642,SNIR80FL.DTA,Senegal,2018
4 Year,0.066731206,SNIR80FL.DTA,Senegal,2018
5+ Years,0.382715395,SNIR80FL.DTA,Senegal,2018
Under a Year,0.226073727,SNIR80FL.DTA,Senegal,2018
1 Year,0.112429681,SNIR7ZFL.DTA,Senegal,2017
2 Year,0.117621835,SNIR7ZFL.DTA,Senegal,2017
3 Year,0.119770588,SNIR7ZFL.DTA,Senegal,2017
4 Year,0.084484083,SNIR7ZFL.DTA,Senegal,2017
5+ Years,0.362415984,SNIR7ZFL.DTA,Senegal,2017
