Var1,Freq,SurveyName,Country,StartYear
Never Used,0.65283435,SNIR7ZFL.DTA,Senegal,2017
Current User,0.179579432,SNIR7QFL.DTA,Senegal,2016
Former User,0.152941694,SNIR7QFL.DTA,Senegal,2016
Never Used,0.667478874,SNIR7QFL.DTA,Senegal,2016
Current User,0.168706688,SNIR7HFL.DTA,Senegal,2015
Former User,0.130156105,SNIR7HFL.DTA,Senegal,2015
Never Used,0.701137208,SNIR7HFL.DTA,Senegal,2015
Current User,0.160297701,SNIR70FL.DTA,Senegal,2014
Former User,0.146426726,SNIR70FL.DTA,Senegal,2014
Never Used,0.693275573,SNIR70FL.DTA,Senegal,2014
Current User,0.126101553,SNIR6DFL.DTA,Senegal,2012
Former User,0.120796607,SNIR6DFL.DTA,Senegal,2012
Never Used,0.75310184,SNIR6DFL.DTA,Senegal,2012
Current User,0.095879907,SNIR61FL.DTA,Senegal,2010
Former User,0.120485114,SNIR61FL.DTA,Senegal,2010
Never Used,0.783634979,SNIR61FL.DTA,Senegal,2010
Current User,0.242685092,SLIR7AFL.DTA,Sierra Leone,2019
Former User,0.171763435,SLIR7AFL.DTA,Sierra Leone,2019
Never Used,0.585551473,SLIR7AFL.DTA,Sierra Leone,2019
Current User,0.220700956,SLIR61FL.DTA,Sierra Leone,2013
Former User,0.10933369,SLIR61FL.DTA,Sierra Leone,2013
Never Used,0.669965354,SLIR61FL.DTA,Sierra Leone,2013
Current User,0.48154669,ZAIR71FL.DTA,South Africa,2016
Former User,0.186428002,ZAIR71FL.DTA,South Africa,2016
Never Used,0.332025307,ZAIR71FL.DTA,South Africa,2016
Current User,0.212931918,TJIR71FL.DTA,Tajikistan,2017
Former User,0.105740813,TJIR71FL.DTA,Tajikistan,2017
Never Used,0.681327269,TJIR71FL.DTA,Tajikistan,2017
Current User,0.189312272,TJIR61FL.DTA,Tajikistan,2012
Former User,0.07660405,TJIR61FL.DTA,Tajikistan,2012
Never Used,0.734083678,TJIR61FL.DTA,Tajikistan,2012
Current User,0.324197842,TZIR7BFL.DTA,Tanzania,2015
Former User,0.203380206,TZIR7BFL.DTA,Tanzania,2015
Never Used,0.472421952,TZIR7BFL.DTA,Tanzania,2015
Current User,0.160555346,TLIR71FL.DTA,Timor-Leste,2016
