Group,Intention,Freq,N,SurveyName,Country,StartYear
"Married, Does Not Want Child within 2 Years",Unsure About Use,0.121922756,4241,BJIR71FL.DTA,Benin,2017
"Married, Does Not Want Child within 2 Years",Use Later,0.362959062,4241,BJIR71FL.DTA,Benin,2017
"Married, Wants Child within 2 Years",Does Not Intend,0.590074186,1434,BJIR71FL.DTA,Benin,2017
"Married, Wants Child within 2 Years",Unsure About Use,0.106371852,1434,BJIR71FL.DTA,Benin,2017
"Married, Wants Child within 2 Years",Use Later,0.303553962,1434,BJIR71FL.DTA,Benin,2017
"Not Married, Not Sexually Active",Does Not Intend,0.43831242,2732,BJIR71FL.DTA,Benin,2017
"Not Married, Not Sexually Active",Unsure About Use,0.246872737,2732,BJIR71FL.DTA,Benin,2017
"Not Married, Not Sexually Active",Use Later,0.314814843,2732,BJIR71FL.DTA,Benin,2017
"Not Married, Sexually Active",Does Not Intend,0.423470964,631,BJIR71FL.DTA,Benin,2017
"Not Married, Sexually Active",Unsure About Use,0.13287925,631,BJIR71FL.DTA,Benin,2017
"Not Married, Sexually Active",Use Later,0.443649786,631,BJIR71FL.DTA,Benin,2017
All Never Users,Does Not Intend,0.513854407,12054,BJIR61FL.DTA,Benin,2011
All Never Users,Unsure About Use,0.246941243,12054,BJIR61FL.DTA,Benin,2011
All Never Users,Use Later,0.23920435,12054,BJIR61FL.DTA,Benin,2011
"Infecund, Menopausal",Does Not Intend,0.757091311,2652,BJIR61FL.DTA,Benin,2011
"Infecund, Menopausal",Unsure About Use,0.155091332,2652,BJIR61FL.DTA,Benin,2011
"Infecund, Menopausal",Use Later,0.087817357,2652,BJIR61FL.DTA,Benin,2011
"Married, Does Not Want Child within 2 Years",Does Not Intend,0.466067747,4527,BJIR61FL.DTA,Benin,2011
"Married, Does Not Want Child within 2 Years",Unsure About Use,0.26250875,4527,BJIR61FL.DTA,Benin,2011
"Married, Does Not Want Child within 2 Years",Use Later,0.271423503,4527,BJIR61FL.DTA,Benin,2011
"Married, Wants Child within 2 Years",Does Not Intend,0.56957132,2201,BJIR61FL.DTA,Benin,2011
"Married, Wants Child within 2 Years",Unsure About Use,0.205255621,2201,BJIR61FL.DTA,Benin,2011
"Married, Wants Child within 2 Years",Use Later,0.225173059,2201,BJIR61FL.DTA,Benin,2011
"Not Married, Not Sexually Active",Does Not Intend,0.31014628,2115,BJIR61FL.DTA,Benin,2011
"Not Married, Not Sexually Active",Unsure About Use,0.353448568,2115,BJIR61FL.DTA,Benin,2011
"Not Married, Not Sexually Active",Use Later,0.336405152,2115,BJIR61FL.DTA,Benin,2011
"Not Married, Sexually Active",Does Not Intend,0.358535091,559,BJIR61FL.DTA,Benin,2011
"Not Married, Sexually Active",Unsure About Use,0.285141699,559,BJIR61FL.DTA,Benin,2011
"Not Married, Sexually Active",Use Later,0.35632321,559,BJIR61FL.DTA,Benin,2011
All Never Users,Does Not Intend,0.364226456,12948,BFIR62FL.DTA,Burkina Faso,2010
All Never Users,Unsure About Use,0.038496907,12948,BFIR62FL.DTA,Burkina Faso,2010
All Never Users,Use Later,0.592602871,12948,BFIR62FL.DTA,Burkina Faso,2010
All Never Users,Missing,0.004673766,12948,BFIR62FL.DTA,Burkina Faso,2010
"Infecund, Menopausal",Does Not Intend,0.738744371,2533,BFIR62FL.DTA,Burkina Faso,2010
"Infecund, Menopausal",Unsure About Use,0.029403494,2533,BFIR62FL.DTA,Burkina Faso,2010
"Infecund, Menopausal",Use Later,0.222883663,2533,BFIR62FL.DTA,Burkina Faso,2010
"Infecund, Menopausal",Missing,0.008968472,2533,BFIR62FL.DTA,Burkina Faso,2010
"Married, Does Not Want Child within 2 Years",Does Not Intend,0.278026496,6396,BFIR62FL.DTA,Burkina Faso,2010
"Married, Does Not Want Child within 2 Years",Unsure About Use,0.03707282,6396,BFIR62FL.DTA,Burkina Faso,2010
"Married, Does Not Want Child within 2 Years",Use Later,0.681419561,6396,BFIR62FL.DTA,Burkina Faso,2010
"Married, Does Not Want Child within 2 Years",Missing,0.003481124,6396,BFIR62FL.DTA,Burkina Faso,2010
"Married, Wants Child within 2 Years",Does Not Intend,0.385989659,1544,BFIR62FL.DTA,Burkina Faso,2010
"Married, Wants Child within 2 Years",Unsure About Use,0.033118951,1544,BFIR62FL.DTA,Burkina Faso,2010
"Married, Wants Child within 2 Years",Use Later,0.579201575,1544,BFIR62FL.DTA,Burkina Faso,2010
"Married, Wants Child within 2 Years",Missing,0.001689814,1544,BFIR62FL.DTA,Burkina Faso,2010
"Not Married, Not Sexually Active",Does Not Intend,0.200777771,2223,BFIR62FL.DTA,Burkina Faso,2010
"Not Married, Not Sexually Active",Unsure About Use,0.058495075,2223,BFIR62FL.DTA,Burkina Faso,2010
"Not Married, Not Sexually Active",Use Later,0.735429205,2223,BFIR62FL.DTA,Burkina Faso,2010
"Not Married, Not Sexually Active",Missing,0.005297949,2223,BFIR62FL.DTA,Burkina Faso,2010
"Not Married, Sexually Active",Does Not Intend,0.194689679,252,BFIR62FL.DTA,Burkina Faso,2010
"Not Married, Sexually Active",Unsure About Use,0.029963002,252,BFIR62FL.DTA,Burkina Faso,2010
"Not Married, Sexually Active",Use Later,0.773324728,252,BFIR62FL.DTA,Burkina Faso,2010
"Not Married, Sexually Active",Missing,0.002022591,252,BFIR62FL.DTA,Burkina Faso,2010
All Never Users,Does Not Intend,0.408214478,11434,BUIR70FL.DTA,Burundi,2016
All Never Users,Unsure About Use,0.022571917,11434,BUIR70FL.DTA,Burundi,2016
All Never Users,Use Later,0.569213605,11434,BUIR70FL.DTA,Burundi,2016
"Infecund, Menopausal",Does Not Intend,0.705800761,1499,BUIR70FL.DTA,Burundi,2016
"Infecund, Menopausal",Unsure About Use,0.01446945,1499,BUIR70FL.DTA,Burundi,2016
"Infecund, Menopausal",Use Later,0.279729789,1499,BUIR70FL.DTA,Burundi,2016
"Married, Does Not Want Child within 2 Years",Does Not Intend,0.45639209,3125,BUIR70FL.DTA,Burundi,2016
"Married, Does Not Want Child within 2 Years",Unsure About Use,0.018149614,3125,BUIR70FL.DTA,Burundi,2016
"Married, Does Not Want Child within 2 Years",Use Later,0.525458296,3125,BUIR70FL.DTA,Burundi,2016
"Married, Wants Child within 2 Years",Does Not Intend,0.50521823,505,BUIR70FL.DTA,Burundi,2016
"Married, Wants Child within 2 Years",Unsure About Use,0.013597895,505,BUIR70FL.DTA,Burundi,2016
"Married, Wants Child within 2 Years",Use Later,0.481183875,505,BUIR70FL.DTA,Burundi,2016
"Not Married, Not Sexually Active",Does Not Intend,0.300785531,5984,BUIR70FL.DTA,Burundi,2016
"Not Married, Not Sexually Active",Unsure About Use,0.028279716,5984,BUIR70FL.DTA,Burundi,2016
"Not Married, Not Sexually Active",Use Later,0.670934753,5984,BUIR70FL.DTA,Burundi,2016
"Not Married, Sexually Active",Does Not Intend,0.318235806,321,BUIR70FL.DTA,Burundi,2016
"Not Married, Sexually Active",Unsure About Use,0.015850021,321,BUIR70FL.DTA,Burundi,2016
"Not Married, Sexually Active",Use Later,0.665914173,321,BUIR70FL.DTA,Burundi,2016
All Never Users,Does Not Intend,0.272787227,7432,BUIR61FL.DTA,Burundi,2010
All Never Users,Unsure About Use,0.054935081,7432,BUIR61FL.DTA,Burundi,2010
All Never Users,Use Later,0.66873724,7432,BUIR61FL.DTA,Burundi,2010
All Never Users,Missing,0.003540452,7432,BUIR61FL.DTA,Burundi,2010
"Infecund, Menopausal",Does Not Intend,0.642808509,1224,BUIR61FL.DTA,Burundi,2010
"Infecund, Menopausal",Unsure About Use,0.050883659,1224,BUIR61FL.DTA,Burundi,2010
